country,week,NO2,PM2.5
Canada,9,10.32738095238095,28.65178571428571
Canada,10,9.0625,25.113095238095237
Canada,11,7.836309523809523,26.220238095238095
Canada,12,8.625,30.0952380952381
Canada,13,7.37797619047619,28.19345238095238
Canada,14,5.0059523809523805,20.119047619047617
Canada,15,5.800595238095239,24.1875
Canada,16,5.880952380952381,23.860119047619047
Canada,17,5.432291666666667,24.4375
Chile,1,13.333333333333334,63.583333333333336
Chile,2,20.523809523809522,74.85714285714285
Chile,3,18.428571428571427,74.96031746031747
Chile,4,14.142857142857142,74.2063492063492
Chile,5,14.071428571428571,62.85714285714286
Chile,6,15.61904761904762,69.28571428571429
Chile,7,18.828571428571426,91.1111111111111
Chile,8,20.047619047619047,81.3015873015873
Chile,9,18.476190476190478,85.47619047619048
Chile,10,19.90476190476191,97.28571428571429
Chile,11,18.0952380952381,97.80952380952381
Chile,12,17.126984126984127,96.36507936507938
Chile,13,13.238095238095239,93.0
Chile,14,15.61904761904762,89.85714285714285
Chile,15,12.619047619047619,70.0
Chile,16,17.142857142857142,87.42857142857143
Chile,17,16.25,83.08333333333333
Colombia,1,12.2,66.0
Colombia,2,14.571428571428571,74.71428571428571
Colombia,3,16.571428571428573,84.0
Colombia,4,14.142857142857142,84.71428571428571
Colombia,5,14.0,77.0
Colombia,6,18.8,105.14285714285714
Colombia,7,19.285714285714285,118.42857142857143
Colombia,8,19.428571428571427,100.57142857142857
Colombia,9,16.428571428571427,110.42857142857143
Colombia,10,20.714285714285715,131.85714285714286
Colombia,11,12.285714285714286,144.14285714285714
Colombia,12,12.714285714285714,145.57142857142858
Colombia,13,6.571428571428571,129.71428571428572
Colombia,14,9.571428571428571,85.57142857142857
Colombia,15,6.857142857142857,51.714285714285715
Colombia,16,10.142857142857142,68.42857142857143
Colombia,17,11.0,68.5
Czech Republic,1,11.9,74.91666666666666
Czech Republic,2,11.285714285714286,39.42857142857143
Czech Republic,3,13.523809523809524,95.3809523809524
Czech Republic,4,13.904761904761905,69.8952380952381
Czech Republic,5,8.952380952380954,47.85714285714286
Czech Republic,6,7.761904761904762,28.285714285714285
Czech Republic,7,8.047619047619046,53.42857142857143
Czech Republic,8,7.476190476190477,21.428571428571427
Czech Republic,9,7.095238095238095,17.142857142857142
Czech Republic,10,8.761904761904763,28.866666666666664
Czech Republic,11,7.761904761904762,29.261904761904763
Czech Republic,12,11.19047619047619,65.71428571428572
Czech Republic,13,7.476190476190477,69.21428571428572
Czech Republic,14,4.944444444444444,41.625
Czech Republic,15,7.75,36.5
Czech Republic,16,6.928571428571429,47.07142857142857
Czech Republic,17,6.5,43.625
Denmark,1,9.6,45.25
Denmark,2,15.714285714285714,33.285714285714285
Denmark,3,13.714285714285714,32.857142857142854
Denmark,4,13.285714285714286,30.142857142857142
Denmark,5,12.571428571428571,34.42857142857143
Denmark,6,11.714285714285714,30.571428571428573
Denmark,7,11.285714285714286,33.857142857142854
Denmark,8,9.857142857142858,32.714285714285715
Denmark,9,13.857142857142858,29.857142857142858
Denmark,10,15.714285714285714,40.57142857142857
Denmark,11,9.571428571428571,30.571428571428573
Denmark,12,8.571428571428571,31.428571428571427
Denmark,13,9.714285714285714,46.42857142857143
Denmark,14,7.285714285714286,25.142857142857142
Denmark,15,8.571428571428571,38.57142857142857
Denmark,16,7.0,30.0
Denmark,17,17.5,32.0
Ecuador,1,,46.375
Ecuador,2,,50.464285714285715
Ecuador,3,,49.035714285714285
Ecuador,4,,42.285714285714285
Ecuador,5,,58.25
Ecuador,6,,63.33333333333334
Ecuador,7,,67.9375
Ecuador,8,,50.85714285714286
Ecuador,9,,49.714285714285715
Ecuador,10,,58.50000000000001
Ecuador,11,,59.08571428571428
Ecuador,12,,32.910714285714285
Ecuador,13,,50.035714285714285
Ecuador,14,,41.14285714285714
Ecuador,15,,33.07142857142857
Ecuador,16,,36.07142857142857
Ecuador,17,,38.375
Egypt,1,5.2,
Egypt,2,8.714285714285714,
Egypt,3,8.285714285714286,
Egypt,4,8.428571428571429,
Egypt,5,7.571428571428571,
Egypt,6,8.142857142857142,
Egypt,7,11.142857142857142,
Egypt,8,8.714285714285714,
Egypt,9,8.714285714285714,
Egypt,10,8.714285714285714,
Egypt,11,7.714285714285714,
Egypt,12,10.428571428571429,
Egypt,13,3.0,
Egypt,14,3.142857142857143,
Egypt,15,3.0,
Egypt,16,6.0,
Egypt,17,5.5,
Finland,1,4.5,21.3125
Finland,2,8.178571428571429,22.28571428571429
Finland,3,5.32142857142857,23.142857142857146
Finland,4,5.821428571428571,15.214285714285715
Finland,5,5.714285714285714,23.892857142857142
Finland,6,6.749999999999999,17.035714285714285
Finland,7,6.321428571428571,24.607142857142854
Finland,8,4.5,24.214285714285715
Finland,9,7.678571428571429,22.89285714285714
Finland,10,8.214285714285714,23.428571428571427
Finland,11,5.142857142857143,27.214285714285715
Finland,12,5.571428571428572,21.642857142857142
Finland,13,3.7142857142857144,33.107142857142854
Finland,14,3.392857142857143,17.142857142857142
Finland,15,3.5714285714285716,23.892857142857142
Finland,16,2.7857142857142856,16.0
Finland,17,6.8125,21.8125
France,1,16.919444444444444,65.89583333333334
France,2,17.63095238095238,51.891666666666666
France,3,14.72718253968254,38.60565476190476
France,4,18.642857142857142,81.28571428571428
France,5,16.607142857142858,45.57738095238095
France,6,16.059523809523807,45.6220238095238
France,7,13.623015873015873,37.21071428571429
France,8,16.515873015873016,35.37202380952381
France,9,14.043650793650793,33.31547619047619
France,10,14.196428571428571,31.959920634920636
France,11,12.531746031746032,36.107142857142854
France,12,11.412698412698411,56.839285714285715
France,13,7.67063492063492,65.1875
France,14,7.71031746031746,48.522817460317455
France,15,11.485449735449734,61.39285714285715
France,16,6.644179894179895,51.23214285714285
France,17,10.395833333333334,49.078125
Germany,1,12.336666666666666,62.833333333333336
Germany,2,12.55952380952381,40.333333333333336
Germany,3,12.807142857142855,41.904761904761905
Germany,4,18.021428571428572,61.85714285714286
Germany,5,9.914285714285715,32.42857142857143
Germany,6,14.635714285714286,36.19047619047619
Germany,7,9.814285714285713,26.761904761904763
Germany,8,8.195238095238095,16.476190476190478
Germany,9,10.223809523809525,19.666666666666668
Germany,10,12.76904761904762,29.571428571428573
Germany,11,9.719047619047618,20.095238095238095
Germany,12,12.961904761904762,50.333333333333336
Germany,13,10.345238095238097,59.523809523809526
Germany,14,11.405238095238095,39.857142857142854
Germany,15,11.866666666666665,45.42857142857143
Germany,16,10.121428571428572,46.0
Germany,17,8.0875,34.20833333333333
Greece,1,18.8,33.1875
Greece,2,18.857142857142858,33.39285714285714
Greece,3,18.285714285714285,33.75
Greece,4,22.0,41.60714285714286
Greece,5,20.333333333333332,41.636904761904766
Greece,6,17.428571428571427,30.88095238095238
Greece,7,19.714285714285715,37.5
Greece,8,22.857142857142858,37.38095238095238
Greece,9,22.142857142857142,26.910714285714285
Greece,10,20.428571428571427,32.607142857142854
Greece,11,21.571428571428573,37.01428571428571
Greece,12,16.714285714285715,42.67261904761905
Greece,13,11.857142857142858,39.15
Greece,14,13.142857142857142,35.53650793650794
Greece,15,14.857142857142858,39.19047619047619
Greece,16,15.285714285714286,37.75
Greece,17,9.5,31.375
Hungary,1,15.033333333333335,83.75
Hungary,2,19.214285714285715,106.42857142857143
Hungary,3,13.0,86.85714285714286
Hungary,4,17.57142857142857,103.8
Hungary,5,14.928571428571429,61.14285714285714
Hungary,6,8.914285714285715,29.952380952380953
Hungary,7,10.571428571428571,42.0
Hungary,8,14.428571428571429,57.285714285714285
Hungary,9,10.642857142857142,35.14285714285714
Hungary,10,12.642857142857142,48.5
Hungary,11,16.42857142857143,51.57142857142857
Hungary,12,18.142857142857142,76.35714285714286
Hungary,13,8.857142857142858,56.42857142857143
Hungary,14,10.5,63.785714285714285
Hungary,15,13.5,64.92857142857143
Hungary,16,9.642857142857142,47.214285714285715
Hungary,17,7.875,38.0
India,1,21.141666666666666,186.26736111111111
India,2,16.925595238095237,157.63809523809525
India,3,17.419642857142854,152.08928571428572
India,4,18.652976190476192,160.07698412698414
India,5,16.357142857142854,164.66071428571428
India,6,17.964285714285715,169.85714285714283
India,7,20.160714285714285,164.30357142857142
India,8,23.17857142857143,171.5297619047619
India,9,22.035714285714285,139.33333333333334
India,10,16.264285714285712,125.27142857142857
India,11,15.482142857142858,126.8095238095238
India,12,17.41071428571429,136.98214285714286
India,13,5.5476190476190474,108.92261904761905
India,14,7.363095238095238,109.96428571428571
India,15,6.660714285714285,111.92738095238096
India,16,6.464285714285714,106.94047619047619
India,17,5.78125,90.22222222222223
Iran,1,70.16666666666667,90.6875
Iran,2,71.16666666666667,92.21964285714286
Iran,3,76.30952380952381,95.18928571428572
Iran,4,77.10714285714286,94.94642857142857
Iran,5,82.57142857142857,107.59375
Iran,6,65.15476190476191,87.44642857142858
Iran,7,40.316071428571426,65.73660714285714
Iran,8,49.82142857142857,87.76785714285714
Iran,9,42.60654761904762,87.0407738095238
Iran,10,46.05357142857143,79.12857142857142
Iran,11,46.65178571428572,69.25
Iran,12,36.375,64.625
Iran,13,29.633928571428573,51.78571428571429
Iran,14,34.0625,53.839285714285715
Iran,15,34.16071428571429,44.25297619047619
Iran,16,34.0625,47.00892857142857
Iran,17,33.75,59.046875
Ireland,1,7.0,41.333333333333336
Ireland,2,5.4,16.8
Ireland,3,4.8,13.8
Ireland,4,14.5,70.5
Ireland,5,5.5,15.0
Ireland,6,11.666666666666666,40.8
Ireland,7,,
Ireland,8,,
Ireland,9,5.285714285714286,23.0
Ireland,10,14.4,31.0
Ireland,11,4.0,16.666666666666668
Ireland,12,6.6,21.8
Ireland,13,8.6,51.6
Ireland,14,4.8,23.8
Ireland,15,6.5,45.2
Ireland,16,6.8,42.666666666666664
Ireland,17,6.0,36.0
Israel,1,30.0,52.0
Israel,2,60.79047619047619,57.142857142857146
Israel,3,84.3809523809524,74.04761904761905
Israel,4,32.523809523809526,52.857142857142854
Israel,5,23.952380952380953,55.80952380952382
Israel,6,16.238095238095237,55.38095238095238
Israel,7,19.761904761904763,50.666666666666664
Israel,8,16.80952380952381,86.95238095238095
Israel,9,15.476190476190476,62.357142857142854
Israel,10,18.857142857142858,63.51428571428571
Israel,11,16.142857142857142,70.52380952380952
Israel,12,8.619047619047619,52.285714285714285
Israel,13,8.761904761904761,69.61904761904762
Israel,14,7.80952380952381,62.047619047619044
Israel,15,3.190476190476191,51.95238095238094
Israel,16,5.523809523809523,64.66666666666667
Israel,17,8.583333333333334,66.75
Italy,1,31.816666666666663,126.5
Italy,2,32.114285714285714,109.25
Italy,3,33.238095238095234,121.96428571428572
Italy,4,31.9047619047619,102.92857142857143
Italy,5,28.61904761904762,102.0
Italy,6,26.90476190476191,75.67857142857142
Italy,7,26.0952380952381,76.5
Italy,8,28.952380952380953,97.48214285714286
Italy,9,22.8015873015873,67.375
Italy,10,22.59523809523809,58.051785714285714
Italy,11,19.19047619047619,62.57142857142857
Italy,12,17.58730158730159,78.14285714285714
Italy,13,12.095238095238095,55.46428571428571
Italy,14,13.238095238095239,63.875
Italy,15,17.428571428571427,67.7797619047619
Italy,16,11.19047619047619,48.00714285714285
Italy,17,10.75,45.833333333333336
Japan,1,14.99,48.2625
Japan,2,22.707142857142856,41.771428571428565
Japan,3,24.265476190476193,49.64047619047619
Japan,4,22.442857142857143,54.522619047619045
Japan,5,18.414285714285718,31.725
Japan,6,19.3,48.95
Japan,7,28.642857142857146,57.742857142857154
Japan,8,20.771428571428572,49.364285714285714
Japan,9,22.13095238095238,45.357142857142854
Japan,10,17.82142857142857,45.73571428571429
Japan,11,20.542857142857144,44.114285714285714
Japan,12,18.32857142857143,46.92857142857142
Japan,13,16.885714285714286,50.02857142857143
Japan,14,15.678571428571427,47.35
Japan,15,14.985714285714286,49.0
Japan,16,14.514285714285716,46.17857142857143
Japan,17,13.975,38.0125
Kuwait,1,16.8,69.33333333333333
Kuwait,2,25.142857142857142,70.76190476190477
Kuwait,3,18.5,75.23809523809524
Kuwait,4,21.571428571428573,62.77777777777777
Kuwait,5,19.571428571428573,73.28571428571429
Kuwait,6,16.857142857142858,73.76190476190476
Kuwait,7,17.8,68.29365079365078
Kuwait,8,21.0,66.2063492063492
Kuwait,9,18.857142857142858,67.28571428571428
Kuwait,10,18.428571428571427,66.47619047619048
Kuwait,11,17.0,60.904761904761905
Kuwait,12,15.0,59.67460317460317
Kuwait,13,17.142857142857142,65.42857142857143
Kuwait,14,12.428571428571429,72.33333333333333
Kuwait,15,12.142857142857142,83.23809523809524
Kuwait,16,12.0,97.54761904761904
Kuwait,17,16.25,92.61111111111113
Mexico,1,,37.5
Mexico,2,19.6,68.03571428571428
Mexico,3,14.714285714285714,69.5
Mexico,4,13.095238095238095,65.64285714285714
Mexico,5,13.0,62.214285714285715
Mexico,6,11.285714285714286,59.64285714285714
Mexico,7,16.0,70.42857142857143
Mexico,8,17.285714285714285,81.57142857142857
Mexico,9,18.142857142857142,71.39285714285714
Mexico,10,19.857142857142858,70.0
Mexico,11,21.142857142857142,60.14285714285714
Mexico,12,17.166666666666668,52.214285714285715
Mexico,13,16.285714285714285,53.5
Mexico,14,14.857142857142858,69.78571428571428
Mexico,15,12.285714285714286,49.214285714285715
Mexico,16,12.428571428571429,65.35714285714286
Mexico,17,14.75,62.5
Netherlands,1,12.6,73.42708333333334
Netherlands,2,14.410714285714286,37.80952380952381
Netherlands,3,12.133928571428573,30.826190476190476
Netherlands,4,22.660714285714285,72.38095238095238
Netherlands,5,10.625,36.74404761904762
Netherlands,6,15.285714285714286,47.291666666666664
Netherlands,7,9.107142857142858,33.69642857142857
Netherlands,8,7.910714285714285,32.851190476190474
Netherlands,9,10.964285714285715,30.14880952380952
Netherlands,10,13.053571428571427,38.07142857142857
Netherlands,11,9.428571428571429,32.285714285714285
Netherlands,12,9.678571428571427,36.98214285714286
Netherlands,13,8.089285714285715,58.642857142857146
Netherlands,14,10.714285714285715,33.72619047619048
Netherlands,15,12.892857142857142,54.416666666666664
Netherlands,16,7.785714285714285,49.476190476190474
Netherlands,17,6.40625,33.60416666666667
New Zealand,1,2.6666666666666665,33.5
New Zealand,2,1.4285714285714286,38.5
New Zealand,3,1.0,
New Zealand,4,0.4285714285714286,
New Zealand,5,2.777777777777778,31.5
New Zealand,6,2.8095238095238098,27.714285714285715
New Zealand,7,3.0,26.714285714285715
New Zealand,8,3.333333333333334,21.142857142857142
New Zealand,9,3.8095238095238098,26.2
New Zealand,10,2.6666666666666665,26.571428571428573
New Zealand,11,3.3492063492063497,20.142857142857142
New Zealand,12,3.3253968253968256,23.428571428571427
New Zealand,13,2.1904761904761907,23.428571428571427
New Zealand,14,1.3333333333333333,16.571428571428573
New Zealand,15,1.7142857142857144,19.285714285714285
New Zealand,16,1.8095238095238095,31.333333333333332
New Zealand,17,1.8333333333333333,31.5
Peru,1,6.6,42.625
Peru,2,3.7142857142857144,37.357142857142854
Peru,3,5.571428571428571,44.0
Peru,4,5.119047619047619,48.642857142857146
Peru,5,4.214285714285714,45.78571428571429
Peru,6,11.0,41.857142857142854
Peru,7,10.0,54.21428571428571
Peru,8,8.428571428571429,35.19047619047619
Peru,9,3.595238095238095,54.16666666666667
Peru,10,4.5,55.96428571428571
Peru,11,,40.0
Peru,12,,34.5
Peru,13,5.0,33.785714285714285
Peru,14,4.714285714285714,50.642857142857146
Peru,15,4.0,45.89285714285714
Peru,16,5.285714285714286,44.82142857142858
Peru,17,5.25,43.47916666666667
Philippines,1,5.233333333333333,66.0
Philippines,2,5.761904761904762,51.285714285714285
Philippines,3,6.476190476190477,54.5
Philippines,4,6.19047619047619,38.238095238095234
Philippines,5,5.714285714285714,40.166666666666664
Philippines,6,8.076190476190476,75.4047619047619
Philippines,7,8.055555555555555,75.46428571428572
Philippines,8,7.869047619047618,50.72380952380953
Philippines,9,9.142857142857142,71.96428571428572
Philippines,10,8.809523809523808,58.3968253968254
Philippines,11,5.0,90.07142857142857
Philippines,12,6.928571428571428,90.64285714285715
Philippines,13,3.571428571428571,83.14285714285714
Philippines,14,4.928571428571429,59.07142857142857
Philippines,15,3.4285714285714284,45.0
Philippines,16,5.428571428571428,56.42857142857143
Philippines,17,5.875,55.625
Poland,1,12.5,93.625
Poland,2,14.714285714285714,93.0
Poland,3,18.107142857142858,111.64285714285714
Poland,4,14.321428571428571,99.5
Poland,5,13.857142857142858,78.0
Poland,6,15.339285714285714,66.42857142857142
Poland,7,11.178571428571429,63.07142857142857
Poland,8,13.142857142857142,61.785714285714285
Poland,9,14.535714285714285,57.285714285714285
Poland,10,17.17857142857143,72.14285714285714
Poland,11,11.714285714285715,62.0
Poland,12,13.25,82.78571428571428
Poland,13,10.571428571428571,87.92857142857142
Poland,14,12.357142857142858,82.78571428571429
Poland,15,12.892857142857142,72.0
Poland,16,7.964285714285714,53.5
Poland,17,11.625,53.75
Portugal,1,14.9,106.04166666666666
Portugal,2,11.785714285714285,75.91428571428571
Portugal,3,10.642857142857142,79.17857142857143
Portugal,4,10.678571428571429,60.75
Portugal,5,8.75,55.607142857142854
Portugal,6,13.035714285714285,63.80357142857143
Portugal,7,12.821428571428571,59.14285714285714
Portugal,8,12.464285714285715,64.32142857142857
Portugal,9,10.321428571428571,63.75
Portugal,10,7.892857142857142,45.35714285714286
Portugal,11,9.428571428571429,53.96428571428572
Portugal,12,8.285714285714286,51.892857142857146
Portugal,13,6.119047619047619,46.07738095238095
Portugal,14,11.0,47.17857142857143
Portugal,15,12.428571428571429,42.99404761904762
Portugal,16,8.571428571428571,32.75
Portugal,17,4.625,30.854166666666664
Russia,1,8.2,36.25
Russia,2,,68.0
Russia,3,,
Russia,4,,
Russia,5,15.0,102.0
Russia,6,12.428571428571429,30.428571428571427
Russia,7,17.0,49.857142857142854
Russia,8,11.714285714285714,55.0
Russia,9,12.857142857142858,45.0
Russia,10,13.714285714285714,58.857142857142854
Russia,11,10.857142857142858,48.142857142857146
Russia,12,7.857142857142857,30.142857142857142
Russia,13,13.571428571428571,40.285714285714285
Russia,14,7.0,34.142857142857146
Russia,15,5.857142857142857,29.428571428571427
Russia,16,10.142857142857142,32.0
Russia,17,7.75,19.25
Saudi Arabia,1,13.625,
Saudi Arabia,2,9.610119047619047,
Saudi Arabia,3,12.297619047619047,
Saudi Arabia,4,7.541666666666667,
Saudi Arabia,5,7.388888888888889,
Saudi Arabia,6,7.333333333333334,
Saudi Arabia,7,6.345238095238095,
Saudi Arabia,8,6.512499999999999,
Saudi Arabia,9,7.411111111111111,
Saudi Arabia,10,6.2648809523809526,
Saudi Arabia,11,5.825,
Saudi Arabia,12,4.0625,
Saudi Arabia,13,2.9285714285714284,
Saudi Arabia,14,2.0,
Saudi Arabia,15,2.2,
Saudi Arabia,16,2.416666666666667,
Saudi Arabia,17,2.75,
Serbia,1,11.2,157.25
Serbia,2,16.142857142857142,139.28571428571428
Serbia,3,13.0,155.14285714285714
Serbia,4,17.571428571428573,146.42857142857142
Serbia,5,13.714285714285714,109.42857142857143
Serbia,6,10.428571428571429,55.142857142857146
Serbia,7,14.0,81.85714285714286
Serbia,8,15.142857142857142,96.28571428571429
Serbia,9,12.428571428571429,69.71428571428571
Serbia,10,9.571428571428571,69.28571428571429
Serbia,11,11.857142857142858,81.57142857142857
Serbia,12,10.714285714285714,95.42857142857143
Serbia,13,3.2857142857142856,93.14285714285714
Serbia,14,3.4285714285714284,81.85714285714286
Serbia,15,5.0,74.57142857142857
Serbia,16,5.142857142857143,60.0
Serbia,17,3.0,55.5
South Africa,1,7.05625,63.140625
South Africa,2,6.980000000000001,51.849404761904765
South Africa,3,6.414285714285714,46.56285714285714
South Africa,4,7.128571428571428,49.109523809523814
South Africa,5,7.2857142857142865,50.89
South Africa,6,8.214285714285714,56.9547619047619
South Africa,7,5.645238095238095,46.26587301587302
South Africa,8,5.342857142857143,53.404761904761905
South Africa,9,8.361904761904764,53.83595238095238
South Africa,10,7.231428571428571,44.34285714285714
South Africa,11,6.908571428571429,49.86309523809524
South Africa,12,6.7285714285714295,50.15714285714286
South Africa,13,5.303571428571429,44.76428571428572
South Africa,14,4.314285714285715,37.9547619047619
South Africa,15,3.957142857142857,41.3
South Africa,16,4.4714285714285715,43.48809523809524
South Africa,17,4.925,61.45416666666667
South Korea,1,40.675,117.46875
South Korea,2,30.446428571428573,97.46428571428571
South Korea,3,39.625,92.19642857142857
South Korea,4,36.5,110.46428571428572
South Korea,5,26.696428571428573,58.892857142857146
South Korea,6,26.625,83.55357142857143
South Korea,7,41.17857142857143,118.53571428571428
South Korea,8,30.375,90.41071428571428
South Korea,9,29.928571428571427,54.98214285714285
South Korea,10,32.75,98.57142857142858
South Korea,11,23.839285714285715,84.71428571428572
South Korea,12,22.482142857142858,70.625
South Korea,13,26.660714285714285,81.46428571428571
South Korea,14,27.48214285714286,87.32142857142857
South Korea,15,23.125,78.19642857142858
South Korea,16,25.875,76.67857142857142
South Korea,17,12.625,45.5625
Spain,1,21.224999999999998,82.875
Spain,2,28.392857142857146,60.14285714285714
Spain,3,25.94642857142857,70.07142857142857
Spain,4,15.642857142857142,41.25
Spain,5,16.625,32.535714285714285
Spain,6,22.67857142857143,60.5
Spain,7,18.857142857142858,69.42857142857143
Spain,8,24.375,49.892857142857146
Spain,9,18.25,52.035714285714285
Spain,10,14.071428571428573,23.46428571428571
Spain,11,17.94642857142857,46.0
Spain,12,8.273809523809524,41.69642857142857
