country,week,NO2,PM2.5
India,4,13.142857142857144,135.69841269841268
India,5,11.317460317460316,124.30952380952381
India,6,11.896825396825397,134.23809523809524
India,7,11.111111111111112,136.7619047619048
India,8,10.912698412698413,139.2579365079365
India,9,9.968253968253968,133.13492063492063
India,10,10.444444444444445,104.92857142857143
India,11,11.634920634920634,105.28571428571429
Indonesia,1,,60.0
Indonesia,2,,69.7904761904762
Indonesia,3,,71.29761904761905
Indonesia,4,,78.33333333333333
Indonesia,5,,74.80952380952381
Indonesia,6,,84.59523809523809
Indonesia,7,,71.16666666666667
Indonesia,8,,63.142857142857146
Indonesia,9,,88.17857142857143
Indonesia,10,,78.5
Indonesia,11,,77.42857142857143
Iran,1,13.8,13.8
Iran,2,0.0,
Iran,3,,
Iran,4,,
Iran,5,,
Iran,6,,
Iran,7,,
Iran,8,,
Iran,9,,
Iran,10,,
Iran,11,,
Iraq,1,,
Iraq,2,,
Iraq,3,,
Iraq,4,,82.0
Iraq,5,,81.0
Iraq,6,,78.28571428571429
Iraq,7,,91.42857142857143
Iraq,8,,86.0
Iraq,9,,70.14285714285714
Iraq,10,,62.285714285714285
Iraq,11,,79.42857142857143
Ireland,1,12.4,46.8
Ireland,2,7.142857142857143,27.142857142857142
Ireland,3,8.428571428571429,34.714285714285715
Ireland,4,12.857142857142858,42.0
Ireland,5,14.857142857142858,86.28571428571429
Ireland,6,7.4,27.6
Ireland,7,5.666666666666667,20.0
Ireland,8,9.285714285714286,20.285714285714285
Ireland,9,14.142857142857142,52.57142857142857
Ireland,10,16.428571428571427,51.0
Ireland,11,10.714285714285714,69.14285714285714
Israel,1,25.0,73.2
Israel,2,18.285714285714285,77.28571428571429
Israel,3,20.714285714285715,68.42857142857143
Israel,4,25.142857142857142,73.28571428571429
Israel,5,17.428571428571427,65.0
Israel,6,22.285714285714285,57.857142857142854
Israel,7,15.714285714285714,64.42857142857143
Israel,8,18.285714285714285,66.28571428571429
Israel,9,14.571428571428571,67.57142857142857
Israel,10,23.2,94.0
Israel,11,17.428571428571427,76.71428571428571
Italy,1,21.46666666666667,69.35
Italy,2,28.71428571428572,73.26190476190477
Italy,3,25.19047619047619,66.63809523809525
Italy,4,25.11904761904762,78.73015873015872
Italy,5,14.80952380952381,73.42380952380954
Italy,6,16.942857142857143,54.419047619047625
Italy,7,20.285714285714285,39.80952380952381
Italy,8,16.857142857142858,56.261904761904766
Italy,9,18.5,54.166666666666664
Italy,10,19.785714285714285,49.42857142857142
Italy,11,19.5,42.761904761904766
Japan,1,24.70666666666667,55.54
Japan,2,24.655952380952378,55.37142857142857
Japan,3,28.25,59.852380952380955
Japan,4,28.514285714285712,70.47380952380952
Japan,5,28.404761904761905,74.66190476190476
Japan,6,25.199999999999996,58.52380952380953
Japan,7,24.530952380952378,53.228571428571435
Japan,8,24.392857142857142,59.82619047619048
Japan,9,22.121428571428574,62.016666666666666
Japan,10,23.07857142857143,61.12380952380953
Japan,11,21.84761904761905,43.73809523809524
Jordan,1,,
Jordan,2,,
Jordan,3,6.595238095238095,
Jordan,4,8.238095238095239,
Jordan,5,5.920634920634921,
Jordan,6,7.476190476190477,
Jordan,7,7.0476190476190474,
Jordan,8,7.111111111111112,
Jordan,9,6.246031746031746,
Jordan,10,7.9523809523809526,
Jordan,11,6.6190476190476195,
Kuwait,1,37.0,79.6
Kuwait,2,30.714285714285715,72.0
Kuwait,3,29.571428571428573,71.92857142857142
Kuwait,4,20.428571428571427,53.285714285714285
Kuwait,5,31.0,60.29761904761905
Kuwait,6,30.714285714285715,57.92857142857143
Kuwait,7,26.571428571428573,80.57142857142857
Kuwait,8,25.571428571428573,54.77142857142857
Kuwait,9,29.142857142857142,70.5
Kuwait,10,26.285714285714285,74.71428571428572
Kuwait,11,26.25,56.471428571428575
Mexico,1,19.583333333333332,77.20625
Mexico,2,17.898809523809526,79.68154761904762
Mexico,3,15.44047619047619,66.35714285714286
Mexico,4,13.31547619047619,56.10714285714286
Mexico,5,17.422619047619047,68.73809523809524
Mexico,6,21.80357142857143,72.33035714285714
Mexico,7,19.32142857142857,71.16517857142857
Mexico,8,20.520833333333332,58.85357142857143
Mexico,9,18.148809523809522,69.23571428571428
Mexico,10,17.291666666666668,77.30357142857143
Mexico,11,19.880952380952383,83.5
Netherlands,1,17.508333333333333,62.53333333333334
Netherlands,2,12.3125,38.57142857142857
Netherlands,3,24.732142857142854,70.11904761904762
Netherlands,4,23.666666666666664,63.142857142857146
Netherlands,5,15.035714285714285,63.88095238095238
Netherlands,6,9.538690476190474,29.33333333333333
Netherlands,7,12.035714285714285,28.92857142857143
Netherlands,8,14.196428571428573,60.071428571428584
Netherlands,9,17.24404761904762,62.04761904761905
Netherlands,10,14.357142857142858,71.78571428571428
Netherlands,11,8.857142857142858,49.02380952380953
New Zealand,1,1.2666666666666666,58.2
New Zealand,2,1.2857142857142856,56.142857142857146
New Zealand,3,1.4761904761904763,46.857142857142854
New Zealand,4,1.3809523809523812,42.142857142857146
New Zealand,5,2.0,62.857142857142854
New Zealand,6,1.7142857142857144,48.142857142857146
New Zealand,7,1.7142857142857144,44.42857142857143
New Zealand,8,1.857142857142857,48.57142857142857
New Zealand,9,1.2857142857142858,42.857142857142854
New Zealand,10,3.2777777777777772,52.666666666666664
New Zealand,11,2.4285714285714284,63.8
Pakistan,1,8.2,111.4
Pakistan,2,8.0,114.57142857142857
Pakistan,3,8.0,94.85714285714286
Pakistan,4,8.0,71.42857142857143
Pakistan,5,7.5,64.85714285714286
Pakistan,6,8.428571428571429,64.85714285714286
Pakistan,7,9.0,70.28571428571429
Pakistan,8,9.0,71.14285714285714
Pakistan,9,5.571428571428571,77.0
Pakistan,10,6.0,85.14285714285714
Pakistan,11,6.0,82.42857142857143
Peru,1,15.2,49.0
Peru,2,16.142857142857142,54.42857142857143
Peru,3,6.0,61.25
Peru,4,9.0,50.2
