,Unnamed: 0,country,week,NO2,PM2.5
141,141,Ecuador,16,,-34.57136687540489
142,142,Ecuador,17,,-34.99697519661223
143,143,Egypt,5,,
144,144,Egypt,6,,
145,145,Egypt,7,-46.93877551020408,
146,146,Egypt,8,-12.857142857142865,
147,147,Egypt,9,-23.749999999999993,
148,148,Egypt,10,-22.784810126582272,
149,149,Egypt,11,-26.027397260273986,
150,150,Egypt,12,-2.666666666666657,
151,151,Egypt,13,-72.36842105263158,
152,152,Egypt,14,-47.61904761904761,
153,153,Egypt,15,-63.15789473684209,
154,154,Egypt,16,-11.11111111111111,
155,155,Egypt,17,,
156,156,Finland,5,-11.406423034330025,-28.890306122448973
157,157,Finland,6,-19.915254237288146,-50.15673981191222
158,158,Finland,7,-14.90384615384616,29.75517890772126
159,159,Finland,8,-37.313432835820905,2.2624434389140227
160,160,Finland,9,1.8957345971563913,10.517241379310338
161,161,Finland,10,14.427860696517397,8.250825082508245
162,162,Finland,11,-35.42600896860986,-7.636363636363636
163,163,Finland,12,-14.285714285714263,4.844290657439464
164,164,Finland,13,-49.51456310679612,52.4671052631579
165,165,Finland,14,-71.55688622754491,-59.527824620573355
166,166,Finland,15,-70.32640949554896,-8.979591836734683
167,167,Finland,16,-77.19298245614034,-60.42402826855124
168,168,Finland,17,-52.3125,-56.40613847251963
169,169,France,5,1.2973810330638478,2.5362901065938206
170,170,France,6,-14.039932030586238,-17.323768944501403
171,171,France,7,-48.360409145607704,-48.59891465219537
172,172,France,8,-39.329446064139944,-54.64432911005954
173,173,France,9,-24.055793991416298,-48.65137614678899
174,174,France,10,6.0943060498220865,2.4278265293144883
175,175,France,11,0.31766200762388697,27.587077233720326
176,176,France,12,-43.78420641125881,-8.874892642427712
177,177,France,13,-63.02601377199695,8.710541989279344
178,178,France,14,-49.03829340793845,-1.500322216851918
179,179,France,15,-13.135254101640687,-2.990970654627533
180,180,France,16,-59.28177691309987,-7.45658835546476
181,181,France,17,6.148703403565658,54.92531003382186
182,182,Germany,5,-46.28344384530044,-57.77529761904762
183,183,Germany,6,14.298995909259961,-25.343811394891954
184,184,Germany,7,-59.25669664920432,-63.19580877537656
185,185,Germany,8,-62.13837861621383,-74.37037037037037
186,186,Germany,9,-33.591091865140754,-70.11577424023154
187,187,Germany,10,36.04769152714364,16.72932330827069
188,188,Germany,11,-11.56845753899481,-0.705882352941174
189,189,Germany,12,-25.587752870420996,-18.941717791411037
190,190,Germany,13,-43.05373525557012,13.224637681159413
191,191,Germany,14,-27.912716328066214,-36.63890991672975
192,192,Germany,15,3.5313668466971366,-28.699551569506724
193,193,Germany,16,-25.197958824564495,-17.01030927835051
194,194,Germany,17,-32.26819541375874,-24.301896733403566
195,195,Greece,5,,1.5534262485482278
196,196,Greece,6,,-28.53994490358128
197,197,Greece,7,,27.970749542961606
198,198,Greece,8,,32.489451476793235
199,199,Greece,9,,-42.216257668711656
200,200,Greece,10,,-36.06442577030812
201,201,Greece,11,,1.9075712881022622
202,202,Greece,12,,6.872391174716742
203,203,Greece,13,,6.842105263157903
204,204,Greece,14,,2.791551882460984
205,205,Greece,15,,37.85594639865995
206,206,Greece,16,,59.66767371601207
207,207,Greece,17,,-10.357142857142858
208,208,Hungary,5,1.7857142857142918,-15.07936507936508
209,209,Hungary,6,-48.14404432132963,-63.0868544600939
210,210,Hungary,7,-54.8780487804878,-42.35294117647059
211,211,Hungary,8,-21.907216494845397,-15.578947368421051
212,212,Hungary,9,-20.462633451957288,-34.920634920634924
213,213,Hungary,10,-13.235294117647069,28.598484848484837
214,214,Hungary,11,45.20202020202021,85.5087358684481
215,215,Hungary,12,-24.494649227110585,24.360167519776656
216,216,Hungary,13,-53.61596009975061,36.206896551724135
217,217,Hungary,14,-16.477272727272737,28.30459770114943
218,218,Hungary,15,22.727272727272727,31.739130434782602
219,219,Hungary,16,-22.70992366412213,35.45081967213115
220,220,Hungary,17,-0.9730538922155599,35.714285714285715
221,221,India,5,20.076905150314598,14.586440003976499
222,222,India,6,29.639175257731964,18.079999999999977
223,223,India,7,50.84619952494059,19.32132564841499
224,224,India,8,76.3586956521739,26.405135103520895
225,225,India,9,94.70546984572235,12.085807316606033
226,226,India,10,36.71114076050701,-6.679673643135845
227,227,India,11,39.33928571428568,-7.277158774373286
228,228,India,12,59.54545454545462,-1.6342290485281923
229,229,India,13,-44.347133757961764,-18.18628912071536
230,230,India,14,-29.502279635258354,4.799183117767194
231,231,India,15,-42.75238744884038,6.308231569425612
232,232,India,16,-44.4558101472995,-4.128838546261761
233,233,India,17,-47.06122819767442,-17.145876607995337
234,234,Iran,5,498.34368530020697,679.6648550724638
235,235,Iran,6,,
236,236,Iran,7,,
237,237,Iran,8,,
238,238,Iran,9,,
239,239,Iran,10,,
240,240,Iran,11,,
241,241,Iran,12,,
242,242,Iran,13,,
243,243,Iran,14,,
244,244,Iran,15,,
245,245,Iran,16,,
246,246,Iran,17,,
247,247,Ireland,5,-55.64516129032258,-67.94871794871796
248,248,Ireland,6,63.3333333333333,50.315789473684184
249,249,Ireland,7,,
250,250,Ireland,8,,
251,251,Ireland,9,-64.42307692307692,-73.34437086092717
252,252,Ireland,10,94.5945945945946,12.318840579710141
253,253,Ireland,11,-29.41176470588237,-16.66666666666666
254,254,Ireland,12,-28.923076923076938,7.464788732394374
255,255,Ireland,13,-39.1919191919192,-1.8478260869565155
256,256,Ireland,14,-70.78260869565217,-53.333333333333336
257,257,Ireland,15,-39.33333333333333,-34.628099173553714
258,258,Ireland,16,-63.24324324324324,-61.21212121212122
259,259,Ireland,17,-30.769230769230766,-10.0
260,260,Israel,5,-4.19047619047619,-23.7574811345303
261,261,Israel,6,-11.197916666666686,-28.342575477510778
262,262,Israel,7,-4.597701149425271,-25.95685455810718
263,263,Israel,8,-33.1439393939394,18.648473034437952
264,264,Israel,9,-11.202185792349729,-4.065934065934083
265,265,Israel,10,-15.38461538461538,9.77777777777778
266,266,Israel,11,2.7272727272727177,9.460458240946036
267,267,Israel,12,-52.864583333333336,-21.120689655172413
268,268,Israel,13,-39.869281045751656,3.0303030303030143
269,269,Israel,14,-66.3382594417077,-33.99189463019252
270,270,Israel,15,-81.69398907103823,-32.27808814400994
271,271,Israel,16,-43.13725490196078,11.494252873563228
272,272,Israel,17,-58.56321839080459,-24.879421221864952
273,273,Italy,5,33.31854480922803,47.08002883922136
274,274,Italy,6,-6.301824212271952,3.298667533311674
275,275,Italy,7,3.5916824196597643,14.79919965699584
276,276,Italy,8,15.260663507108983,23.81804435483873
277,277,Italy,9,53.96570203644155,-8.238212594850545
278,278,Italy,10,33.36143901068012,6.675490024501227
279,279,Italy,11,-5.399061032863848,57.177033492822964
280,280,Italy,12,4.331450094161964,38.89123994921706
281,281,Italy,13,-34.62033462033461,2.395604395604402
282,282,Italy,14,-33.09265944645004,29.22687861271677
283,283,Italy,15,-10.62271062271063,58.50501113585741
284,284,Italy,16,-50.106157112526546,-10.605187319884717
285,285,Italy,17,-47.007042253521114,-7.806513409961669
286,286,Japan,5,-25.468352478606114,-42.87900612171408
287,287,Japan,6,-21.72275602336921,-11.597007223942196
288,288,Japan,7,1.3906447534766226,-3.524544514281165
289,289,Japan,8,-27.154308617234484,-29.95371465252205
290,290,Japan,9,-22.087175188600185,-39.249952165316685
291,291,Japan,10,-29.280045351473927,-21.851098454027653
292,292,Japan,11,-16.257400757061035,-17.122920021470765
293,293,Japan,12,-24.860907759882885,-21.55848290683331
294,294,Japan,13,-23.668065870196983,-19.33044112565745
295,295,Japan,14,-32.06437635406996,-22.534278591461515
296,296,Japan,15,-31.408020924149973,12.03048448557428
297,297,Japan,16,-41.837610914989035,-26.61192674436203
298,298,Japan,17,-24.303585246324474,-20.968021385079933
299,299,Kuwait,5,-47.1042471042471,-7.932519741564954
300,300,Kuwait,6,-45.116279069767444,2.4470899470899434
301,301,Kuwait,7,-39.80676328502415,-5.053514288866839
302,302,Kuwait,8,2.797202797202805,24.2478403336312
303,303,Kuwait,9,-39.17050691244239,11.589338598223096
304,304,Kuwait,10,-40.00000000000001,14.75544595150021
305,305,Kuwait,11,-36.02150537634409,-24.408983451536642
306,306,Kuwait,12,-41.34078212290503,8.952066307308892
307,307,Kuwait,13,-41.176470588235304,-7.193515704153998
308,308,Kuwait,14,-52.71739130434783,-3.1867431485022477
309,309,Kuwait,15,-53.74149659863946,47.398600219242766
310,310,Kuwait,16,,158.64898989898987
311,311,Kuwait,17,,27.865439403900957
312,312,Mexico,5,-33.61702127659573,-19.41807079830232
313,313,Mexico,6,-36.94712337878284,-25.14847047398499
314,314,Mexico,7,3.6237471087124296,6.135629709364905
315,315,Mexico,8,29.816718819848028,45.38510502864417
316,316,Mexico,9,4.133925521011273,3.8621406304121826
317,317,Mexico,10,-8.927108927108934,-3.2218244661152897
318,318,Mexico,11,9.426987060998162,-15.488363339815571
319,319,Mexico,12,-16.345177664974592,-11.281024334000858
320,320,Mexico,13,-10.265660872417165,-22.727741669245837
321,321,Mexico,14,-14.079173838209986,-9.725109725109737
322,322,Mexico,15,-38.203592814371284,-41.06073567151412
323,323,Mexico,16,-27.508390232611973,-3.8613081166272654
324,324,Mexico,17,-15.752493200362636,-26.655490360435873
325,325,Netherlands,5,-39.314612089481194,-41.240862016448375
326,326,Netherlands,6,24.14793328498911,22.608024691358004
327,327,Netherlands,7,-63.176895306859194,-51.943972835314085
328,328,Netherlands,8,-66.57444668008048,-47.97322775263952
329,329,Netherlands,9,-27.078384798099744,-52.80469623555724
330,330,Netherlands,10,36.84867394695789,29.78896103896105
331,331,Netherlands,11,-21.66172106824925,11.604938271604926
332,332,Netherlands,12,-31.82389937106918,-38.436385255648034
333,333,Netherlands,13,-53.089402830514324,-5.487336914811974
334,334,Netherlands,14,-25.373134328358194,-53.01824212271973
335,335,Netherlands,15,45.564516129032256,11.000485672656607
336,336,Netherlands,16,-40.92140921409216,-30.906068162926008
337,337,Netherlands,17,-35.32151442307692,1.319095477386956
338,338,New Zealand,5,119.29824561403517,-45.87628865979382
339,339,New Zealand,6,118.51851851851855,-50.63613231552162
340,340,New Zealand,7,103.22580645161287,-42.987804878048756
341,341,New Zealand,8,141.3793103448276,-49.83050847457628
342,342,New Zealand,9,90.47619047619048,-58.31818181818182
343,343,New Zealand,10,55.55555555555553,-44.80712166172107
344,344,New Zealand,11,95.37037037037038,-54.66237942122187
345,345,New Zealand,12,79.05982905982908,-51.76470588235294
346,346,New Zealand,13,70.37037037037037,-45.33333333333333
347,347,New Zealand,14,-59.32203389830507,-68.5352622061483
348,348,New Zealand,15,-29.41176470588235,-69.77160770264217
